"Level of
influence",How we engaged them in FY 2024/2025,"Impact of engagement/expected
outcomes"
High,"• Internal communication platforms (email,
intranet)
• Training programmes
• Teambuilding, sports events
• Employee engagement surveys
• Toll-free number for psychosocial support","Engaged, motivated, and satisfied staff
(Employee Engagement Score of 96%)"
High,"• Customer events (trade fairs, sponsorships)
• Key account manager relationships
• Traditional and new media","Increased awareness of the business value
proposition"
High,"• Due diligence and interviews before
onboarding
• Direct meetings with the relevant managers","Suppliers uphold high standards of ethics,
transparency, and respect for people and the
environment"
High,"• Annual General Meeting
• Responses to requests for information
• Quarterly earnings calls
• Half-year and full-year reports
• Analyst, investor briefings
• Press releases, briefings/interviews
• Investor newsletter
• Company website","Continued access to funding for investment
opportunities"
High,"• Compliance reports
• Regular updates
• Proactive communication on regulatory
changes
• Public participation forums
• Submission of memoranda on legislation/
regulation
• Partnerships in key areas of social, economic
development, like education","Favourable regulatory environment,
continued support to meet governance/
compliance requirements"
"Medium to
high",• CSR initiatives,"Transforming lives through impactful social
investment initiatives and contribution to
Sustainable Development Goals"
High,"• Updates on key business milestones through
press releases, media briefings/interviews, and
company website
• Social media engagements","Enhanced understanding of the business,
including Centum 5.0 strategy"
