Company,"Country of
incorporation",Classification,"Operating
segment",Principal activity
Athena Properties Limited,Kenya,Investment operations,Real estate,"End-to-end project and development management services for real
estate projects and real estate development"
Rasimu Limited,Kenya,Investment operations,Real estate,"Investment holding company. At 31 March 2020, the company's
sole holding was a 3.65% stake in Two Rivers Development Limited"
Pearl Marina Estates Limited,Uganda,Investment operations,Real estate,Real estate development in Uganda
Two Rivers Development Limited,Kenya,Investment operations,Real estate,"Real estate development. The company has developed the Two
Rivers project in Nairobi. The company holds a joint controlling
stake of 50% at Two Rivers Lifestyle Center Limited and a 100%
stake in Two Rivers Luxury Apartments Limited, Two Rivers Power
Company Limited, Two Rivers Water and Sanitation Company
Limited, Two Rivers Property Owners Limited, Two Rivers Office
Suites Limited, Two Rivers Development Phase 2 Limited and Two
Rivers Theme Park Limited."
Uhuru Heights Limited,Kenya,Investment operations,Real estate,"The company is an investment holding company . At 31 March
2020, the company's holdings included a 1.05% stake in Two Rivers
Development Limited, investment in Cascadia Apartments and
investment property."
"Centum Development Kenya
Limited",Kenya,Investment operations,Real estate,"The company is an investment holding company . At 31 March
2020, the company's holdings included investment in Riverbank
Apartments and investment property."
Centum Exotics Limited,Mauritius,Investment operations,"Marketable
securities","The company is engaged in investment in marketable securities.
At 31 March 2020, the company held 100% stake in Oleibon
Investments Limited."
Centum Development Limited,Mauritius,Investment operations,Real estate,"The company is an investment holding company for real estate
development. At 31 March 2020, the company's sole holding was in
Pearl Marina Estates Limited"
Nabo Capital Limited,Kenya,Financial services,Private equity,"The company is involved in fund management and transaction
advisory services."
Investpool Holdings Limited,Mauritius,Investment operations,Private equity,"Investment holding company. At 31 March 2020, the company held
100% of Kilele Holdings Limited that is a private equity holding
company and Mvuke Limited that is a special purpose vehicle to
explore Geothermal opportunities in Africa."
Centum Business Solutions Limited,Kenya,Investment operations,Private equity,"Provision of shared services to Centum Investment Company Plc
and its subsidiaries."
King Beverage Limited,Kenya,Trading,Private equity,"Importation, distribution and sale of alcoholic beverages upto 30
June 2019."
Almasi Beverages Limited,Kenya,Trading,Private equity,"Investment holding company for Mount Kenya Bottlers, Kisii Bottlers
and Rift Valley Bottlers Limited. The principal activity of these
subsidiaries is to bottle and market soft drinks under a franchise
from the Coca-Cola Company. This company was disposed on 30
September 2019."
Bakki Holdco Limited,Kenya,Financial services,Private equity,"Holding company for the Group's investment in Sidian Bank
Limited."
Vipingo Development Limited,Kenya,Investment operations,Real estate,Real estate development
Vipingo Estates Limited,Kenya,Investment operations,Real estate,Real estate development
"Greenblade Growers Limited
Shefa Holdings Limited","Kenya
Mauritius","Trading
Investment operations","Private equity
Private equity",Agricultural production
,,,,Private equity investments
Zohari Leasing Limited,Kenya,Financial services,Private equity,Leasing services
Mvuke Limited,Kenya,Investment operations,Private equity,Investment holding company for Akiira Geothermal Limited.
"Mwaya Investment Company
Limited",Mauritius,Investment operations,Private equity,Dormant entity
Longhorn Publishers Limited,Kenya,Trading,Private equity,"Public limited liability company involved in publishing and
distribution of learning materials in Kenya and East Africa."
Tribus TSG Limited,Kenya,Investment operations,Private equity,"Training, security and governance consultancy services."
