Name,Classification,Role,Column,Board,Committee,Column,Column,Column,Column
,,,,,"Audit
and
Risk","Nomination
and
Governance",Investment,Branding,ICT
"James Ngatia
Muguiyi",Non-Executive,"CICL
Chairman",Membership,Y,N,Y,N,N,N
,,,Attendance,5/7,,2/2,,,
"James Mwirigi
Mworia",Executive,Group CEO,Membership,Y,Y,Y,Y,Y,Y
,,,Attendance,7/7,6/6,2/2,4/4,2/2,2/2
"Kennedy
Wanderi",Non-Executive,,Membership,Y,N,Y,Y,N,N
,,,Attendance,6/7,,2/2,4/4,,
"Margaret
Martha Byama",Non-Executive,,Membership,Y,Y,Y,N,N,N
,,,Attendance,4/7,3/6,2/2,,,
Imtiaz Khan,Non-Executive,"Chairperson
Audit and
Risk",Membership,Y,Y,N,Y,N,N
,,,Attendance,6/7,6/6,,3/4,,
"Christopher
John Kirubi",Non-Executive,"Chairperson
Investment
Committee",Membership,Y,N,Y,Y,Y,N
,,,Attendance,4/7,,2/2,4/4,2/2,
"Henry Chege
Njoroge",Non-Executive,"Chairperson
ICT
Committee",Membership,Y,Y,N,Y,Y,Y
,,,Attendance,7/7,6/6,,3/4,2/2,2/2
Laila Macharia,Non-Executive,,Membership,Y,Y,Y,Y,N,N
,,,Attendance,7/7,3/6,1/2,3/4,,
James Mcfie,Non-Executive,"Deputy
Chairperson",Membership,Y,N,N,N,N,N
,,,Attendance,5/7,,,,,
