Category,KES (Mn)
Marketable Securities (on Company Balance Sheet),100
Marketable Securities (held through 100% owned SPVs),"3,085"
Company Cash and Cash Equivalents,"2,447"
Total Liquid Assets,"5,632"
Undrawn Overdraft Facilities,18
Liquidity position,"5,650"
