"2021
Ksh’000
97,687
18,903","2020
Ksh’000
118,625
23,786"
"116,590","142,411"
"26,258,390
11,803,965
3,585,229
4,235,342
156,411","30,236,419
15,631,051
4,126,484
3,150,557
22,586"
"46,039,337","53,167,097"
"431,188
61,405
866,720","628,856
-
2,911,960"
"1,359,313","3,540,816"
"47,515,240","56,850,324"
"332,721
589,753
19,321,343
21,358,634
219,596","332,721
589,753
23,533,462
22,184,830
798,530"
"41,822,046","47,439,296"
"4,121,584
493,010
310,303
-
19,386
748,912","7,485,523
401,408
275,038
29,108
24,112
1,195,839"
"5,693,194","9,411,028"
"47,515,240","56,850,324"
