Centum's Portfolio Summary - 31 March 2025,Nature of Business,Sector,Stake,"Equity Value
Kes Mn","Shareholder loans
Kes Mn","Total Carrying Value
Kes Mn",Valuation Method
Two Rivers Land Co. SEZ Ltd,"Development of Grade A offices and
residential units within TRIFIC SEZ targeting
export-oriented service enterprises for rent
in USD and subsequent sale at a cap rate.",Service,80.50%,"9,442","1,061","10,503",Cost
Centum Real Estate (Land Co),"Sale of development rights in master-
planned mixed use",Real Estate,100%,"15,715","6,105","21,820",Fair value of property
Centum Real Estate (Dev Co),"Development and sale of residential units
across Kenya and Uganda",Real Estate,100%,"2,870",580,"3,451",Cost
Akiira Geothermal,Geothermal power development,Power,85%,-,"1,095","1,095",Cost
Sidian Bank,Banking,Financial Services,14.13%,"1,032",49,"1,081",Recent transaction price
NAS Servair,Airline Catering,Service,15%,"1,065",-,"1,065",EBITDA Multiple
Isuzu East Africa,Automotive assembly,Manufacturing,17.80%,"5,621",-,"5,621",EBITDA Multiple
Longhorn Publishers,Books publisher,Consumer,60.20%,495,-,495,Market Price
Jafari Credit,Civil servants payrol lending,Financial Services,100%,"1,230",204,"1,433",DCF
Nabo Capital,Fund manager,Financial Services,100%,452,17,470,Net Asset Value
Green Blade Growers,Horticulture farming for export,Agribusiness,100%,113,189,302,Net Asset Value
Tribus Group,Security and facilities management,Service,100%,269,-,269,EBITDA Multiple
ACE Holdings,Holdco fo SABIS Int'l school in Nairobi,Education,16.40%,421,15,436,Cost
Tier Data,ICT infrastructure and services,ICT,100%,-,13,13,Cost
Others,Centum Capital partners and SPVs,Service,100%,-,574,574,Cost
Total Growth Portfolio,,,,"38,726","9,903","48,629",
Marketable Securities,Diverse portfolio of fixed income securities,Fixed Income Securities,100%,"1,550",398,"1,948",Market Price
Grand Total,,,,"40,276","10,301","50,577",
