"Gr
2025
Ksh’000
172,519
(164,314)","up
2024
Ksh’000
170,814
(162,314)"
"8,205","8,500"
"6,330
(819)","7,186
(1,611)"
"5,511","5,575"
"3,648
(954)","4,688
(1,763)"
"2,694","2,925"
"8,205","8,500"
"3,648
6,330","4,688
7,186"
"9,978","11,874"
"(1,773)","(3,374)"
"8,205","8,500"
(295),"3,725"
