Amu Power Ltd,51.00%,"2,098","2,144"
AkiiraGeothermal Limited,37.50%,"1,542","1,491"
ACE Holdings Limited,16.40%,711,556
GreenbladeGrowers Limited,100%,249,185
King Beverage Limited,100%,534,471
"Assets under development
(healthcare, agribusiness and
business development costs)",100%,298,241
Total,,"5,432","5,088"
