Column,Strategic Objective,Progress
1,"Scaling up assets
under management
from Kshs 6.4 Billion
in 2009 to Kshs 30
Billion in 2014.","Assets under management increased by 52% to Kshs 15 Billion in the year to March 30, 2011.
This is a 134% growth from the Kshs 6.4 Billion of assets that we had at the beginning of the
strategy period in March 2009.
Drivers of growth going forward will be:
• Organic growth of the portfolio spurred by a more active portfolio management;
• Reinvestment of internally generated funds and debt in our three business lines;
• Mobilization of third party funds."
2,"Deliver market beating
returns","In the year to March 30, 2011 we delivered a return on opening sha reholder funds of 37%
which was 41% above the NSE index. Over the two years of the 2009-2014 stra tegy period
the market capitalization of the Company has grown from Kshs 5.8 Billion t o Kshs 14 Billion.
This is a 140% growth in shareholder wealth and in absolute terms th e shareholder wealth cre-
ated in the last two years is Kshs 8.2 Billion."
3,"Focused management
of assets","We have completed the reorganization of the company into three segments – private equity,
quoted private equity and real estate and each of the business lines is on track to deliver solid
returns."
4,"Geographical
diversification","We now have 18% our assets invested outside Kenya and we are on track to achieve our target
of 50% of assets to be invested outside Kenya by 2014.
We also successfully cross-listed the Company shares on the Uganda Securities Exchange rais-
ing the brand profile of the Company in Uganda, which is Kenya’s most important trade partner.
We will be seeking shareholder approval at the 2011 Annual General Meeting to cross list our
shares on the Dar-es-salaam and Rwanda stock exchanges."
5,"Proactive brand
development","To position Centum as Africa’s foremost investment channel we continue to align o ur internal
processes, people, communication and identity to the brand."
