Company,Country of incorporation,Principal activity
Athena properties Limited,Kenya,"End-to-end project and development management services for real
estate projects"
Rasimu Limited,Kenya,"Investment holding company. At 31 March 2017, the company’s sole
holding was a 3.65% stake in Two Rivers Development Limited"
Pearl Marina Estates Limited,Uganda,Real estate development in Uganda
Two Rivers Development Limited,Kenya,"Real estate development. The company is developing the Two Rivers
project in Nairobi. The company holds a joint controlling stake of 50%
at Two Rivers Lifestyle Center Limited and a 100% stake in Two Rivers
Luxury Apartments Limited, Two Rivers Power Company Limited,
Two Rivers ICT Company Limited, Two Rivers Water and Sewerage
Company Limited, Two Rivers Property Owners Limited, Two Rivers
Office Suites Limited and Two Rivers Development Phase 2 Limited."
Uhuru Heights Limited,Kenya,"The company is an investment holding company . At 31 March 2017,"
,,"the company’s holdings were a 1.05% stake in Two Rivers Development
Limited and investment property."
Centum Exotics Limited,Mauritius,The company is engaged in investment in quoted private equity
,,"investments. At 31 March 2017, the company held 100% stake in
Oleibon Investments Limited"
Centum Development Limited,Mauritius,"The company is an investment holding company for real estate
development. At 31 March 2017, the company’s sole holding was in
Pearl Marina Estates Limited"
Nabo Capital Limited,Kenya,"The company is involved in fund management and transaction
advisory services."
Investpool Holdings Limited,Mauritius,"Investment Holding Company. At 31 March 2017, the company held
100% of Kilele Holdings Limited that is a private equity holding
company and Mvuke Limited that is a special purpose vehicle to
explore Geothermal opportunities in Africa."
GenAfrica Asset Managers Limited,Kenya,Provision of fund management services
Centum Business Solutions Limited,Kenya,"Provision of shared services to Centum Investment Company Limited
and its subsidiaries."
King Beverages Limited,Kenya,"Importation, distribution and sale of alcoholic beverages"
Almasi Beverages Limited,Kenya,"Investment holding company for Mount Kenya Bottlers, Kisii Bottlers
and Rift Valley Bottlers Limited. The principal activity of these
subsidiaries is to bottle and market soft drinks under a franchise from
the Coca-Cola Company."
Bakki Holdco Limited,Kenya,Holding company for the Group’s investment in Sidian Bank Limited.
Vipingo Development Limited,Kenya,Real estate development
Vipingo Estates Limited,Kenya,Real estate development
Greenblade Growers Limited,Kenya,Agricultural production
Shefa Holdings Limited,Mauritius,Private equity investments
Zohari Leasing Limited,Kenya,Leasing services
Mvuke Limited,Kenya,Investment holding company for Akiira Geothermal Limited.
eTransact Limited,Kenya,Dormant entity
Centum BVI Limited,British Virgin Islands,Dormant entity
Mwaya Investment Company Limited,Mauritius,Private equity investments
Longhorn Publishers Limited,Kenya,"Public limited liability company involved in publishing and distribution
of learning materials in Kenya and East Africa."
