"Suki Muia, Senior Investment Analyst",Column
Experience:,"•Over 2 years experience in investment management and 1 year in Insurance
•Joined Centum from Kestrel Capital in June 2012"
Markets:,"•East and South African markets
•Equities"
Qualifications:,"•Actuarial Science, CFA Level II Candidate 2012"
