Column,"Performance FY
2025 (Ksh)","Performance FY
2025 (USD)","Performance FY
2024 (Ksh)","Performance
FY 2024 (USD)"
Marketable Securities Portfolio Return,20.0%,23.2%,13.0%,5.9%
NSE 20 Equity Index,27.1%,29.3%,8.0%,8.7%
MSCI Africa ex-ZA Index,26.4%,29.3%,(6.9%),(6.8%)
Bloomberg Africa Bond Index,21.7%,21.7%,(10.5%),(9.9%)
"Portfolio Outperformance to NSE 20
Equity Benchmark",-7.1%,-6.1%,5.0%,(2.8%)
"Portfolio Outperformance to MSCI Africa
ex-ZA Equity Benchmark",-6.4%,-6.1%,19.9%,5.9%
"Portfolio Outperformance to Bloomberg
Africa Bond Benchmark",-1.8%,1.5%,23.5%,15.8%
