KES M,Company,Adjustment,Group
Portfolio Value,"9,360",,"9,360"
Share of Associates book value,,"2,949","2,949"
Fair Value of Associates,,"(4,240)","(4,240)"
Net liabilities,(203),,(203)
Dividend receivable from Associates,,(10),(10)
Net Asset Value,"9,157","(1,301)","7,856"
