Column,Sept’10,Mar’10,Sept’09
Facilities in place:,,,
Revolving overdraft facilities,"1,200",700,500
5 year term loan,"1,000","1,000",-
Total facilities,"2,200","1,700",500
Closing cash,(353),394,(483)
Term loan drawn down,(954),-,-
Liquidity Position,893,"2,094",17
