Column,Mikakati inayokusudiwa,Hatua zilizochukuliwa
1.,"Kuongeza rasilimali
tunazosimamia","Tuliongeza rasilimali tunazosimamia kwa asilimia 56% kufikia Shilingi Bilioni 9.8 tarehe 31
Machi 2010. Tuligharamia uwekezaji huo kupitia fedha tulizozalisha. Ukuaji kwa siku sijazo
utategemea:
• Kuimarika kwa thamani ya rasilimali kutokana na usimamizi thabiti.
• Uwekezaji wa fedha tulizozalisha na kwa matumizi ya fedha za mkopo kugharamia shughuli
zetu zote.
• Kukusanya na kusimamia fedha za wawekezaji wengine"
2.,"Kurudisha faida zaidi
ya soko la hisa","Katika mwaka uliokwisha 31 Machi 2010, Centum ilirudisha faida ya asilimia 56% ambayo
ilikuwa zaidi ya soko la Hisa kwa asilimia 13%."
3.,"Usimamizi thabiti wa
rasilimali","Tumekamilisha muundo wa shughuli za kampuni kwa vitengo vitatu; Hisa Binafsi, hisa
zilizoorodeshwa katika soko la hisa na mashirika katika sekta ya ardhi na ujenzi."
4.,"Kushiriki katika
maeneo mengi","Tuko katika haraakati ya kuwekeza katika eneo la Afrika ya Mashariki na tumeanza kushiriki
katika masoko ya nchi za Afrika ya Magharibi."
5.,Usimamizi thabiti,"Tumekamilisha kuchambua na kukadiri rasilimali tulizowekeza na kubuni mikakati muafaka
ambayo tumeanza kutekeleza. Tulijiondoa katika kampuni ya kwanza katika mwaka uliokwisha
31 Machi 2010. Tunatarajia kukujiondoa katika kampuni zingine mwakani amabazo hazilingani
na mipango yetu."
6.,"Kuimarisha utendaji
kazi","Tuliajiri wasimamisi hodari waliohitimu na wana ujuzi katika taaluma yao.
Pia tumewahi kuchungua na kudadisi juu ya shughuli zetu na kuteua shirika la KPMG kuwa
wahasibu wetu wa ndani na pia wanatarjiwa kushauri na kuhakisha kwamba tunazingatia
mikakati iliyowekwa."
"7. Kutanguliza
uimarishaji wa sura
na sifa ya Centum",,"Ili kufanikisha Centum kuwa kampuni kiongozi Barani Afrika katika uwekazaji wa fedha,
tunaendelea kushirikisha watu tofauti kutekeleza shughuli zetu na kwa kujenga jina lenye sifa
nzuri kupitia njia ya mawasiliano."
