Kshs. m,"H Yr to
Sep’ 09","H Yr to
Sep’ 08",FY 08/09
Net cash from operations,232,187,350
Investing activities,(550),(433),(422)
Dividends paid,(5),(1),(215)
Net cash,(323),(247),(287)
Opening cash,(160),127,128
Closing cash,(483),(120),(160)
