KES Bn,Sept 2017,Sept 2016,Change
Group Turnover,8.8,8.5,1%
Banking Subsidiary –Interest Expense and Provisions,(0.7),(0.8),(13%)
Direct and Operating Costs,(5.8),(5.0),17%
Finance Costs,(0.6),(0.4),57%
Share of Associate Profits,0.6,0.3,64%
Profit Before Tax,2.2,2.8,(22%)
Profit After Tax,1.6,2.1,(21%)
