KES Million,2014,2013,2012,2011,2010
Portfolio income,531,142,375,554,429
unrealised gains,"3,395",755,992,"1,880","1,886"
Gross return,"3,926",897,"1,367","2,434","2,315"
Total return,"3,623",507,"1,245","2,268","2,168"
Gross return (%),45%,10%,18%,43%,65%
Total return (%),42%,6%,16%,40%,61%
"Closing portfolio
value","14,060","10,459","8,556","7,571","5,491"
