Kshs. m,Sept’10,Mar’10,Sept’09
Investment Activity (Kshs.'m),,,
Investments,"(2,599)","(1,221)",(611)
Realization Proceeds,951,"1,348",63
Net Divestments/(Investments),"(1,648)",127,548
Return,,,
Total Return,"1,386","3,298",320
Return on Opening Equity (ROE),15.1%,56.3%,5.5%
Cost to Closing Portfolio Value,1.1%,2.1%,1.1%
Financial Position,,,
Portfolio Value,"11,770","9,360","6,835"
Net Debt,"1,308",-,483
Liquidity,893,"2,094",
Gearing,12.4%,-,8.0%
Net Asset Value (NAV),"10,543","9,157","6,010"
NAV/Share,17.43,15.13,9.93
