Kshs. m,PE,QPE,RE&I,TOTAL
Dividends Receivable,66,77,-,143
Rent income,-,-,-,-
Interest receivable,-,24,-,24
Gain on disposal of investment,-,480,-,480
Other income,6,49,3,58
Income,72,630,3,705
Portfolio costs,(69),(53),(18),(140)
Share of Associates Earnings,361,-,-,361
Profit Before Tax,364,577,(15),926
Tax,(85),3,1,(81)
Profit After Tax,279,580,(14),845
Other Comprehensive Income,207,(84),-,123
Total Comprehensive Income,486,496,(14),968
