Group,Column
2019,2018
Ksh’000,Ksh’000
"8,456,951","8,571,143"
"1,973,953","1,280,482"
"333,900","260,648"
"99,283","58,859"
"10,864,087","10,171,132"
"2,180,464","1,889,529"
"1,130,068","745,322"
"19,182","21,880"
"116,086","124,125"
"7,296","35,976"
-,"7,710"
"1,412","1,603"
"41,691","17,926"
"6,349",627
"3,502,548","2,844,698"
-,"542,494"
"3,502,548","3,387,192"
"301,557","143,352"
"1,772",30
"303,329","143,382"
"14,669,964","13,701,706"
"269,614","271,069"
"119,542","101,149"
"1,553,749","786,219"
"7,464,105","4,181,985"
"3,163",711
"139,104","228,325"
"9,549,277","5,569,458"
-,-
-,-
"181,429","207,464"
"88,185","63,605"
"269,614","271,069"
"5,734,286","5,824,010"
"898,861","495,225"
"144,836","205,236"
"83,513","61,988"
"6,861,496","6,586,459"
