Centum Total Return Statement,Sep 2024,Sep 2023,%Δ
,"Kes Mn Kes Mn
406 385
509 1,410
915 1,795
(262) (300)
(124) (142)
529 1,352
(99) 81
431 1,433
14 4,816
444 6,249",,
,,,6%
,,,-64%
,,,-49%
,,,13%
,,,13%
,,,-61%
,,,222%
,,,-70%
,,,-100%
,,,-93%
