Column,Total Shares
Dr. Christopher John Kirubi,"205,908,205"
Industrial & Commercial Development Corporation (ICDC) (Alternate - William Haggai) *,"152,847,897"
James M. Mworia,"5,674,594"
Dr. Laila Macharia,-
Mary Ngige,-
Catherine Igathe,-
Hon. William Byaruhanga,-
Dr. Donald Kaberuka,-
Mrs. Susan Wakhungu-Githuku,-
Dr. Moses Ikiara,"18,150"
