Financial Metrics,March 22,March 21
Borrowings,Kes 5.8 Bn,Kes 6.7 Bn
Less: Cash holdings,(Kes 1.6 Bn),(Kes 1.6)
Net Borrowing,Kes 4.2Bn),Kes 5.0Bn
Total Assets,Kes 40.9 Bn,Kes 39.6
Assets coverage over debt,9.6x,7.9x
