Group,Column
2018,2017
Ksh’000,Ksh’000
"3,146,650","8,735,647"
"201,264","207,556"
"3,347,913","8,943,203"
"2,573,682","2,042,432"
"1,444,507","1,143,699"
"130,904","121,136"
"(786,219)","(1,033,362)"
"(4,181,985)","(6,452,042)"
"(228,506)","(146,062)"
"1,051","(2,795)"
-,"(13,328)"
"(457,920)","(814,249)"
"(236,978)","(532,686)"
"(66,519)","(55,990)"
"(1,690,453)","(1,894,246)"
"(253,628)","1,503,792"
"8,634","(8,634)"
"2,947","(7,921)"
"(21,221)",-
"861,287","320,266"
"3,033,646","(2,241,115)"
"3,481,142","872,098"
