"3,631,542
373,427
(1,142,320)","851,74
342,65
(552,19"
"2,862,649","642,20"
"(4,695,509)
(3,712,754)
(346,902)
(386,235)
(740,027)
(373,288)
-
(741,427)
(859,806)
(456,641)
(1,555,432)
764,916
2,493,490
207,000
1,027,651
(1,892,222)
297,982
585,101","(4,926,16
(132,64
(50,51
588,72
(146,95
(1,629,55
(712,41
(785,81
(185,59
(67,91
(844,88
5,844,76
2,344,77
128,64
(783,00
158,50
225,00"
"(10,384,103)","(975,06"
"6,494,189
(3,031,040)
(360,754)
6,426,000
-
-
-","3,151,46
(1,251,15
1,102,91
10
(51
(46,68
6,834,61"
"9,528,395","9,790,74"
"2,006,941","9,457,88"
"9,006,348
(815,829)
2,006,941
-","(447,45
9,457,88
(4,08"
"10,197,460","9,006,34"
