"332,721","589,753","6,170,187","12,912,168","20,004,829","268,008","20,272,837"
-,-,-,"6,953,268","6,953,268","989,164","7,942,432"
-,-,"(2,858,244)",-,"(2,858,244)",-,"(2,858,244)"
-,-,"176,833",-,"176,833",-,"176,833"
-,-,"3,179,141",-,"3,179,141","(42,960)","3,136,181"
-,-,"705,857",-,"705,857",-,"705,857"
-,-,"55,240",-,"55,240","16,243","71,483"
-,-,"(6,144)",-,"(6,144)","(3,330)","(9,474)"
-,-,"(400,917)",-,"(400,917)",-,"(400,917)"
-,-,"851,766",-,"851,766","(30,047)","821,719"
-,-,"851,766","6,953,268","7,805,034","959,117","8,764,151"
-,-,-,-,-,"(46,681)","(46,681)"
-,-,-,-,-,"2,639,090","2,639,090"
-,-,-,"(1,309,465)","(1,309,465)","1,309,465",-
-,-,-,-,-,100,100
"332,721","589,753","7,021,953","18,555,971","26,500,398","5,129,099","31,629,497"
