2024,2023,2024,2023
Ksh’000,Ksh’000,Ksh’000,Ksh’000
-,"6,037,388",-,-
"1,777,136","3,936,063",-,-
"1,665,908","1,517,252",-,-
"3,443,044","11,490,703",-,-
"(1,376,997)","(3,936,063)",-,-
"2,066,047","7,554,640",-,-
"158,016","1,390,220",-,-
"4,033,701","4,522,438",-,-
"2,019,333","5,102,135","500,000","1,741,872"
"1,493,880",-,-,-
"7,704,930","11,014,793","500,000","1,741,872"
"(549,497)","(138,941)",-,-
"7,155,433","10,875,852","500,000","1,741,872"
