KES (Mn),FY 2017,FY 2016
"Customer Deposits and
Banking Liabilities","13,369","15,372"
Borrowings,"17,416","13,024"
Dividends Payable,83,7
Other Liabilities,"8,044","6,392"
Total Liabilities,"38,911","34,795"
Shareholder Funds,"49,474","43,258"
Equity and Liabilities,"88,385","78,054"
