Column,Column,cost,Column,Column
"4,541","6,841",At start of year,"4,541","4,282"
"4,812",259,Additions,"1,132",259
-,"(2,559)",Disposal,-,-
"9,353","4,541",At end of year,"5,673","4,541"
,,Amortisation,,
"2,615","1,437",At start of year,"2,615","1,230"
"1,440","1,811",Charge for the year,"1,338","1,385"
-,(633),Released on disposal- -,,
"4,055","2,615",At end of year,"3,953","2,615"
"5,298","1,926",net book value,"1,720","1,926"
