Kes. M,HY2016,HY2015,Variance
"Dividend Income
1,142 1,030 11%",,,
"Interest Income
296 136 118%",,,
"Other Income
3 4 -25%",,,
"Realized gains
999 54 1750%",,,
Total Income,"2,440","1,223",100%
"Portfolio Costs
(256) (247) 4%",,,
"Finance Costs
(593) (389) 52%",,,
"FX loss
(227) - 100%",,,
Profit Before Tax,"1,364",587,132%
"Tax
(51) 0 100%",,,
Profit After Tax,"1,313",587,124%
"Other Comprehensive Income
1,416 3,816 -63%",,,
Total Comprehensive Income,"2,730","4,403",-38%
