Column,"Two Rivers
102 acres, Nairobi","Pearl Marina
345 acres, Garuga","Vipingo
10 500 acres, Kilifi"
Acquire Land,,,
"Master Plan and
Obtain Approvals",,,
"Attract Investors at
Development Level",,Discussions Underway,Discussions Underway
"Develop Trunk
Infrastructure",,,"Phase 1 to commence in
FY 2018"
"Develop Strategic In
fill Developments",,,"Anchor development to
commence in FY 2018"
"Avail Construction
Ready Sites",,,-
"Provide Urban
Management",,-,-
