Valuation Methodology Description,Column
Net Asset Value,"• Value derived as an
investee’s book value of
equity multiplied by
Centum’s shareholding"
Fair Value: Multiples,"• Market multiples of
comparable listed companies
used
• Mostly applied on private
equity investments"
"Fair Value: Recent
Price","• Value inferred from recently
transacted portions of the
asset
• This approach is preferred
where a reference price
exists from a transaction
closed in the recent 12
months"
Cost,"• Assets carried at cost of
acquisition"
Market Price,"• Asset values based on
prevailing market prices on
the reporting date
• Applies to listed securities"
