"2020
Ksh’000
5,866,052
(3,838,946)","2019
Ksh’000
10,864,087
(6,861,496)"
"2,027,106","4,002,591"
"(1,631,681)","(2,885,221)"
"395,425","1,117,370"
"3,796,050
(1,158,748)
(392,219)
(2,074,153)","3,502,548
(962,351)
(736,469)
(2,264,965)"
"170,930","(461,237)"
"14,995,461
301,451
(2,464,768)
(2,751,568)
(3,223,240)
100,305
(2,077,884)","9,549,277
303,329
(2,128,453)
-
(2,517,605)
279,000
(1,702,835)"
"5,446,112
(817,796)","4,438,846
(318,600)"
"4,628,316","4,120,246"
"6,819,560
(2,191,244)","5,156,590
(1,036,344)"
"4,628,316","4,120,246"
