"Item included in the statement
of financial position",Measurement principle,"Item included in the statement
of financial position",Measurement principle
Assets,,Liabilities,
Biological assets,Fair value less cost to sale,Customer deposits,Amortised cost
Investment property,Fair value,Deferred income,Nominal value
Goodwill,"Historical cost less
impairment losses",Deferred income tax liabilities,"Undiscounted amount
measured at the tax rates
that have been enacted
and are expected to
apply to the period when
the liability is settled."
Intangible assets,"Historical cost less
accumulated amortisation and
impairment losses",,
Deferred tax assets,"Undiscounted amount
measured at the tax rates
that have been enacted and
are expected to apply to
the period when the asset is
realised.",Provisions,"Present value of the best
estimate of the settlement
amount"
"Investments in associates and
joint ventures","Group: Cost adjusted for share
of movements in net assets less
impairment losses.
Company: Fair value based on
price of a recent
transaction or earnings
multiples of comparable
companies.",Dividends payable,Amortised cost
Investment in subsidiaries,"Company: Fair value based on
recent transactions or price
multiples, or net asset value",,
Unquoted investments,"Fair value based on price of a
recent transaction or earnings
multiples of
comparable companies",,
Quoted investments,"Fair value based on quoted
prices",,
Loans and advances,Amortised cost,,
"Government securities,
corporate bonds and
commercial papers","Fair value through profit and
loss, and amortised cost",,
Inventories,"Lower of cost and net
realisable value",,
Lease receivables,Amortised cost,,
Receivables,Amortised cost,,
Debt investment in subsidiaries,Amortised cost,,
