Area,"Land Value
(KES MM/Acre)","Plot Ratio
(As per CCN)","Developable
Bulk (Sq. M)","Value (KES)
/Sq. M"
Upper hill,250,2-2.5,"10,000","25,000"
Central Business District,600,6,"24,000","25,000"
Ngong Road,200,2,"8,000","25,000"
Kilimani,180,2,"8,000","22,500"
Westlands,300,2,"8,000","37,500"
Parklands,200,1,"4,000","50,000"
Gigiri/Runda,50,0.25,"1,000","50,000"
Two Rivers,20,2.0,"8,000","2,500"
,,,Median price,"25,000"
