YEAR,"NSE 20
RETURN","CENTUM
NAV RETURN","CENTUM
OUTPERFORMANCE"
2010,43%,56%,13%
2011,(4%),37%,41%
2012,(13%),9%,22%
2013,44%,18%,(26%)
2014,2%,42%,40%
2015,8%,39%,31%
"geometric
Average",11%,33%,22%
"cumulative
return",86%,447%,361%
