KES million,FY 2016,FY 2015
Borrowings,"10,474","7,569"
Trade and Payables,571,587
Unclaimed Dividends,7,77
Current Income Tax,-,273
Deferred Income Tax,"1,176",882
Total Liabilities,"12,229","9,389"
Shareholder Funds,"39,314","31,939"
