KES million,Mar 2016,Mar 2015
Cash and Cash Equivalents on the Company’s Balance Sheet,"3,916","3,230"
Total Equity,"39,314","31,939"
Net Debt (Total Debt Less Cash) on Company’s Balance Sheet,"6,559","3,896"
Gearing,16.7%,12.2%
