Type,Nature,Description,Recognition
Sale of goods,Educational materials,"Sale of educational material is
through Longhorn Publishers
Plc.","Revenues from the various sources
are recognised in the period in which
the company has delivered products
to the customer, the customer has full
discretion over the channel and price
to sell the products, and there is no
unfulfilled obligation that could affect
the customers’ acceptance of the
products. Delivery does not occur until
the products have been accepted by the
customer."
,Agricultural products,"The Group exports exotic
herbs through Greenblade
Growers Limited.",
"Financial
services","1. Interest income
2. Fund management
income
3. Fees, commissions
and trading income
4. Leasing income","1. Interest income relates to
income earned by Sidian
Bank Limited and fixed
income investments by
the asset management
subsidiaries.
2. Fund management income
relates to management
fees earned by the asset
management companies.
3. Fees, commissions and
trading income is the non
funded income earned by
Sidian Bank Limited.
4. Leasing income relates to
rental and finance lease
income earned on operating
and finance leases provided
by Zohari Credit Limited.","- Interest income is accrued using the
effective interest rate method, by
reference to the principal outstanding
and the interest rate applicable.
- Fund management income is
recognised in the period in which the
services are rendered, by reference to
completion of the specific transaction
assessed on the basis of the actual
service provided as a percentage of
the total services to be provided.
- Fees and commissions are recognised
on an accrual basis when the service
has been provided. Loan commitment
fees for advances are credited to
income upon first utilisation of the
facility and are charged on an annual
basis."
Sale of services,"1. Project management
fees
2. Utilities
3. Provision of security
and cleaning services
4. Provision of IT
service","1. Project management fees
relate to fees earned by
Centum Real Estate Limited
on Real Estate projects.
2. Utilities relate to income
earned by Two Rivers Power
Company Limited and Two
Rivers Water and Sanitation
Company Limited on the
provision of electricity and
water to the Two Rivers
Development.
3. Security and cleaning
services earned by Tribus
TSG Limited to third party
clients
4. IT services earned by Tier
data on provision of ICT
infrastructure, internet
services, networking
solutions, data centre and
disaster recovery.","- Project management fees are
recognised in the period in which the
services are rendered, by reference
to completion of the specific project
assessed on the basis of the actual
service provided as a percentage of
the total service to be provided.
- Electricity and water revenue are
recognised when electricity and/or
water is consumed by the user and is
stated net of value added tax and other
Government levies.
- Security and cleaning services are
recognised on a monthly basis when
services are offered.
- IT services are recognised on a
monthly basis when monthly services
are offered. In case of projects, the
revenues are recognised based on the
work completed."
