"1,094,320
642,043
-
443,983
117,403
1,177,274","308,113
394,029
49,346
190,351
63,390
553,136","-
197,981
-
20,338
115,030
1,177,274","-
93,436
41,674
(82,173
63,390
553,136"
"3,475,023","1,558,365","1,510,623","669,463"
"(398,737)","(560,020)",-,-
"3,076,286","998,345","1,510,623","669,463"
"814,686
110,377","672,322
202,405","98,367
(11,385)","273,102
4,576"
"925,063","874,727","86,982","277,678"
"10,872,693","8,817,159","1,955,409","5,144,599"
"3,261,808
(2,833,095)
(566,562)
195,166
664,459
203,287","2,645,148
(3,112,351)
(1,572,163)
2,705,568
-
208,525","586,623
(1,173,009)
-
8,909
664,459
-","1,543,380
(2,326,772
-
1,061,070
-
-"
"925,063","874,727","86,982","277,678"
"2,214,863",-,"2,214,863",-
"664,459",-,"664,459",-
