Kes.Mn FY2025,FY2024 %∆ PY
"Annuity income ( dividend & interest) 6 62 6 92 -4%
Realised gains & other income 6 87 4 60 49%",
"Total income 1 ,349 1 ,153 17%",
"Operating costs (629) ( 580) -8%
Finance costs ( 200) (295) 32%",
Operating profit 5 21 2 78 87%,
Share of loss in joint venture (3) 100%,
Profit before tax 5 17 2 78 86%,
Tax 3 0 2 78 -89%,
Profit after tax 5 47 5 56 -2%,
"Other comprehensive income 3 ,865 4 ,948 -22%",
"Total return for the period 4 ,412 5 ,504 -20%",
