Risk,Column,Brief Description,Column,Further Information,Risk Mitigation
,"Risks that arise from failed internal controls,
functional errors or malfunctions arising from
people, processes, systems and external events.
These include:
• Failure to meet ethical and governance
principles;
• Information technology failures;
• Fraud and Security breaches.
• Loss of key employees.
• Natural disasters",,"Corporate governance
statement
Financial risk disclosures",,"• Independent and specialized internal audit function.
• Robust risk management.
• Approved operational procedures.
• Framework of Core values.
• A code of conduct.
• Existence of a regularly tested BCP & DR plan.
• Management of this risk is embedded in all
business processes and decisions and is part of the
performance targets for all staff.
• Management and the board continue to develop
a pool and to seek innovative ways to find and
retain skilled staff. A good example is the graduate
recruitment program that has been launched."
,"This is the risk that our business may be
adversely affected by:
• New laws / regulations affecting our core
business
• Ongoing litigation against us, our
subsidiaries or associates",,"CEO’s statement
Financial statements
Financial risk disclosures",,"• As part of portfolio management, we seek the
opinions of the legal experts at our disposal to
ensure that we are aware of all the foreseeable legal
implications.
• We also continuously scan our operating
environment to identify changes in the regulatory
environment."
,"The risk of a negative impact that can result in
the deterioration of Centum reputation among
stakeholders and general public resulting to:
• Revenue loss
• Reduced client loyalty
• Litigation, regulatory sanction or additional
oversight, and
• Declines in Centum’s share price.",,"Corporate governance
statement
Financial risk disclosures",,"The board and the management constantly monitor
and address issues that can adversely impact Centum’s
reputation as well as other facets of the business that
have an impact on reputation."
