Kes. mc,FY2014,FY2013,Var
"Dividend income 1,789 283 531%",,,
Interest income 40 108 -63%,,,
Other income 11 80 -86%,,,
"Realized gains 149 1,433 -90%",,,
Unrealized gains 0 10 -100%,,,
Income,"1,988","1,914",4%
Portfolio costs (431) (442) -2%,,,
Finance costs (462) (401) 15%,,,
Profit before tax,"1,096","1,071",2%
Tax (48) (37) 31%,,,
Profit after tax,"1,047","1,034",1%
"Other comp income 5,752 1,417 306%",,,
Total comp income,"6,800","2,451",177%
