Mwaka,"Kipimo cha
thamani ya
raslimali","Kipimo cha
soko la
NSE","Centum
ilishinda kwa"
2010,56%,43%,13%
2011,37%,(4%),41%
2012,9%,(13%),22%
2013,19%,44%,(26%)
2014,42%,2%,40%
2015,39%,8%,31%
2016,23%,(24%),47%
Geo. Mean,32%,8%,12%
