Column,FY 0910,Column,Column,Column,FY 0809,Column,Column,Column
Volume,,,,,,,,
,Shares,% Holding,"Number of
Holders",% Holders,Shares,% Holding,"Number of
Holders",% Holders
1 - 500,"2,821,593",0.51%,"11,107",29.61%,"2,930,896",0.53%,"11,435",29.76%
"501 - 5,000","39,876,444",7.25%,"19,838",52.89%,"41,006,852",7.46%,"20,432",53.18%
"5,001 - 10,000","24,349,982",4.43%,"3,261",8.69%,"24,552,344",4.46%,"3,282",8.54%
"10,001 - 100,000","77,976,607",14.18%,"3,042",8.11%,"75,823,975",13.79%,"2,993",7.79%
"100,001 - 1,000,000","62,024,109",11.28%,237,0.63%,"62,164,068",11.30%,252,0.66%
">1,000,000","342,903,095",62.35%,25,0.07%,"343,473,695",62.46%,30,0.08%
TOTALS,"549,951,830",100%,"37,510",100%,"549,951,830",100%,"38,424",100%
