"Land Conversion
(Value Creation)","Two
Rivers","Last Selling
Price / Acre"
Total Gross acreage,101.31,
"Parks, roads, reserves,
common area spaces",41.72,
Developable land,59.59,
"Fully serviced - co
developed or sold",10.96,KES 450 Mn
"Fully serviced land
available for development",28.29,
"Partially serviced and
available for development",20.34,
