Column,31 March 2025,31 March 2024
Item,Ksh’000,Ksh’000
Executive Director’s Fees,-,-
Executive Director’s Emoluments,"64,520","64,520"
Non-Executive Director’s Fees,"35,976","23,472"
Non-Executive Director’s Emoluments,-,-
