Number,Effective Date,Executive Summary
"IFRS 16, ‘Leases’
COVID-19-Related
Rent Concessions
Amendment","Annual periods beginning
on or after 1 June 2020
(early adoption is
permitted)
(Published May 2020)","The IASB has provided lessees (but not lessors) with
relief in the form of an optional exemption from assessing
whether a rent concession related to COVID-19 is a lease
modification, provided that the concession meets certain
conditions. Lessees can elect to account for qualifying rent
concessions in the same way as they would if they were
not lease modifications. In many cases, this will result in
accounting for the concession as a variable lease payment."
"IFRS 16, ‘Leases’
COVID-19-Related
Rent Concessions
Amendment","Annual periods beginning
on or after 1 April 2021
(early adoption is
permitted)","On 31 March 2021, the IASB published an additional
amendment to extend the date of the May 2020 practical
expedient from 30 June 2021 to 30 June 2022. The March
2021 amendment will only be available if an entity chose to
apply the May 2020 optional practical expedient."
"Amendments to
IFRS 9 ‘Financial
Instruments’, IAS 39
‘Financial Instruments:
Recognition and
Measurement’, IFRS 7
‘Financial Instruments:
Disclosures’, IFRS 4
‘Insurance Contracts’
and IFRS 16 ‘Leases’
– interest rate
benchmark (IBOR)
reform (Phase 2)","Annual periods beginning
on or after 1 January
2021
(Published August 2020)","The Phase 2 amendments address issues that arise
from the implementation of the reform of an interest rate
benchmark, including the replacement of one benchmark
with an alternative one."
