Beverages – Alcoholic and Non-alcoholic,Column,Column
,"KWA Holdings
Stake: 27%","− Kenya Wine Agencies Limited is a leading manufacturer, distributor and importer
of wines and spirits in east Africa with operations in Kenya, uganda and Rwanda.
− The Company is in line for privatization by the Government of Kenya."
Others,,
,"nAS Servair
Sector: Food
Stake: 15%","− NAS Servair is an on-site airport catering facility supplying over 30 International
airlines that fly into and out of Jomo Kenyatta international Airport (JKiA) in
nairobi and Moi international Airport (MiA) in Mombasa.
− It supplies high quality in-flight products and services and is recognized for both
its professional standards and in-depth knowledge and understanding of local
and international aviation hospitality requirements.
− NAS is the leading operator offering these services in Kenya and, therefore, has
clear leadership credentials within its market."
,"General Motors east
Africa
Sector: Automotive
Stake: 17.8%","− GM East Africa (GM) markets and sells Chevrolet, Opel and Isuzu vehicles and
parts. it locally assembles the isuzu and Chevrolet vehicles.
− Majority of GM’s sales are domestic. GM also exports to neighboring countries
in the CoMeSA region: uganda, Tanzania, Rwanda, Burundi, Zambia, Zimbabwe,
Mozambique and ethiopia.
− GM East Africa has over 30 years experience in the local assembly and services
industry."
,"Helios Fund 2
Sector: Pan Africa Fund
Commitment: uS$ 5Mn
Fund Size: uS$ 800 Mn","− Helios Investment partners is a leading investment firm founded in 2004 and
focused on making private equity and special situation investments in African
companies.
− The fund targets growth equity investments in hitherto-neglected sectors
exhibiting high growth potential, and acquisition of large, established businesses,
such as non-core subsidiaries of multinational companies."
,"Cape iii
Sector: Pan Africa Fund
Commitment: uS$ 2Mn
Fund Size: uS$ 350Mn","− CAPE III is the third private equity fund by African Capital Alliance (ACA) managers.
Founded in 1997, ACA is the leading private equity firm with a focus on the Gulf of
Guinea.
− The fund size is underpinned by a growing and reforming economy, and a
higher focus on energy than in previous funds sponsored by ACA. The fund
focuses on the following attractive sectors: energy, financial services, logistics,
telecommunications and information technology.
− CAPE III structures its investments for on-going liquidity, a majority interest
or significant minority interest with strong governance rights in the respective
companies."
