KES Mn,Sept 2017,Sept 2016,Change
Trading Subsidiaries,,,
Sales,"4,772","4,122",16%
Direct and Other Operating Costs,"(4,223)","(3,620)",17%
Trading Operations,549,502,9%
Financial Services Subsidiaries,,,
Income from Financial Services,"1,586","2,422",(35%)
