2024,Column,Column,Column,2023,Column,Column,Column
NAME,"DOMI-
CILE","TOTAL
SHARES","PERCENT-
AGE (%)",NAME,"DOMI-
CILE","TOTAL
SHARES","PERCENT-
AGE (%)"
"ESTATE OF
THE LATE DR.
CHRISTOPHER
KIRUBI",LI,"205.908,205",30.94%,"ESTATE OF THE LATE
DR. CHRISTOPHER
KIRUBI",LI,"205,908,205",30.94%
"KENYA
DEVELOPMENT
CORPORATION
LIMITED",LC,"152,847,897",22.97%,"KENYA
DEVELOPMENT
CORPORATION
LIMITED",LC,"152,847,897",22.97%
"KIMANI, JOHN
KIBUNGA",LI,"45,693,485",6.87%,"KIMANI, JOHN
KIBUNGA",LI,"34,694,985",5.21%
,,"404,449,587",60.78%,SUB-TOTAL (TOP 3),,"393,451,087",59.12%
"STANDARD
CHARTERED KENYA
NOMINEES LTD A/C
KE004326",FC,"8,265,856",1.24%,"STANDARD
CHARTERED
NOMINEES NON-RED.
A/C 9827",FC,"9,799,537",1.47%
"CENTUM
INVESTMENT
COMPANY LIMITED",LC,"7,967,500",1.20%,"STANDARD
CHARTERED KENYA
NOMINEES LTD A/C
KE004326",FC,"9,984,356",1.50%
"STANDARD
CHARTERED
NOMINEES NON-
RED. A/C 9827",FC,"7,799,537",1.17%,"STANDARD
CHARTERED KENYA
NOMINEES LTD A/C
KE003534",FC,"8.017,169",1.20%
"STANDARD
CHARTERED KENYA
NOMINEES LTD A/C
KE000954",LC,"6,000,000",0.90%,"STANDARD
CHARTERED KENYA
NOMINEES LTD A/C
KE000954",LC,"6,000,000",0.90%
"UGANDA
SECURITIES
EXCHANGE",LI,"5,724,737",0.86%,"UGANDA SECURITIES
EXCHANGE",FC,"5,724,737",0.86%
"MWIRIGI, JAMES
MWORIA",LI,"5,701,994",0.86%,"MWIRIGI, JAMES
MWORIA",LI,"5,701,994",0.86%
"STANBICE
NOMINEES LIMITED
A/C NR 1031313",FC,"5,574,800",0.84%,"STANDARD
NOMINEES LTD A/C
NR1031313",FC,"5,574,800",0.84%
TOTAL (TOP 10),,"451,484,011",67.85%,TOTAL (TOP 10),,"444,253,680",66.75%
"TOTAL ISSUED
SHARES",,"498,799,6333",,"TOTAL ISSUED
SHARES",,"665,441,714",
