KES M,2010,Column
Return (Statement of comprehensive income),,
Total Return (KES M),"3,297",Total Comprehensive Income (TCI)
Return on Opening Equity,56.3%,TCI divided by Opening NAV
Cost to portfolio ratio,2.1%,Costs divided by Closing Portfolio Value
Statement of Financial Position,,
Portfolio Value,"9,360",Equity investments + deposits
Net Asset Value (NAV),"9,157",Portfolio value – net liabilities
NAV per Share (Kshs.),16.65,NAV divided by Centum’s issued share
