Domicile,Shares,%,Holders,Shares,%,Holders
,"73,501,927",11.05%,30,"66,269,902",9.96%,
,"2,024,521",0.30%,196,"2,423,936",0.36%,
,"212,970,127",32.00%,"1,692","224,674,868",33.76%,
,"376,945,139",56.65%,"34,670","372,073,008",55.91%,
TOTALS,"665,441,714",100.00%,"36,588","665,441,714",100.00%,"36,578"
