Beverages – Alcoholic and non-alcoholic,Column,Column
,"KWA Holdings
stake: 27%","− Kenya Wine Agencies is a manufacturer and distributor of wines and spirits in
east Africa with operations in Kenya, uganda and Rwanda.
− The Company is in line for privatization by the GoK"
others,,
,"nAs servair
sector: Food
stake: 15%","− NAS Servair provides meals and handling services to airlines at the Jomo Kenyatta
international Airport and the Mombasa international Airport."
,"General Motors east
Africa
sector: Automotive
stake: 17.8%","− GM East Africa (GM) markets and sells Chevrolet, Opel and Isuzu vehicles and
parts. it locally assembles the isuzu and Chevrolet vehicles.
− Majority of GM’s sales are domestic. GM also exports to neighboring countries
in the CoMesA region: uganda, tanzania, Rwanda, Burundi, Zambia, Zimbabwe,
Mozambique and ethiopia.
− GM East Africa has over 30 years experience in the local assembly and services
industry."
,"Helios Fund 2
sector: Pan Africa Fund
commitment: us$ 5Mn
fund size: us$ 800 Mn","− Helios Investment partners is an investment firm founded in 2004 and focused on
making private equity and special situation investments in African companies.
− The fund targets growth equity investments in hitherto-neglected sectors
exhibiting high growth potential, and acquisition of large, established businesses,
such as non-core subsidiaries of multinational companies."
,"Cape iii
sector: Pan Africa Fund
commitment: us$ 2Mn
fund size: us$ 350Mn","− CAPE III is the third private equity fund by African Capital Alliance (ACA) managers.
Founded in 1997, ACA is the leading private equity firm with a focus on the Gulf of
Guinea.
− The fund is underpinned by a growing and reforming economy, and a higher focus
on energy than in previous funds sponsored by ACA. the fund focuses on the
following sectors: energy, financial services, logistics, telecommunications and
information technology.
− CAPE III structures its investments for on-going liquidity, a majority interest
or significant minority interest with strong governance rights in the respective
companies."
