KEY FOCUS AREAS,BRIEF DESCRIPTION,RESPONSE
STRATEGY,"Arises from the design &
implementation of our business
model, the key decisions made in
relation to investment & capital
allocation as well as uncertainties
and untapped opportunities
embedded in our strategic intent
and how well they are executed.","Managed through;
• Alignment of subsidiary strategy plans to Group Strategy
• Strategy reviews for all businesses are conducted
periodically
• Formation of subsidiary boards to ensure oversight
of strategy execution
• Ensuring that the Group only invests in opportunities
that have been extensively tested, reviewed and
approved by the Investment Committee. The testing
phase includes stress testing of the models, consideration
of a legal, tax and risk opinion to validate the business
case"
INVESTMENTS,"This is the risk of incurring financial
losses in the Centum’s portfolio in
pursuit of returns. This risk would
arise from;
• Ineffective assets allocation;
• Underperformance by investee
companies;
• Investment concentration risk;
• Market risks; and
• Adverse change in the political
economic, social factors
economic outlook","• Centum has developed asset allocation limits for all
portfolios to mitigate against concentration risk. These
limits are approved by the Investment and Finance
Board Committee. The risk department is responsible
for tracking compliance with the limits and any breaches
are reported to the Risk Committee.
• From a governance perspective, Centum is well
represented in investee company boards to offer
oversight
• Centum maintains a well balanced and diversified
portfolio in terms of asset classes, geographical locations
• Monthly portfolio monitoring to address risk exposures
promptly"
FUNDING,"• Risk that the company
will miss out on attractive
investment opportunities due
to lack of funding; and
• Risk that the company
will experience difficulties in
meeting its maturing financial
commitments","• Regular liquidity and currency monitoring and strategic
reviews of the balance sheet.
• Regular stress testing and scenario analysis."
