"3,614,550","3,377,305 At start of year","7,128,721"
"263,259","594,037 share of profits after taxation",-
"41,918","(91,117) share of other comprehensive income",-
-,- Fair value gain,"382,919"
"(217,072)","(280,941) Dividends received",-
"1,784,911","15,266 Acquisitions during the year","1,784,911"
"(1,030,412)",- transfer to unquoted investment (note 20),"(1,677,213)"
"(187,743)",- Disposals at cost (note 11),"(187,743)"
"(610,213)",- Reserves released on disposal (note 11),"(1,278,648)"
"3,659,198","3,614,550 At end of year","6,152,947"
