"3,247,973","1,366,675",Accounting profit before taxation,"1,070,948","487,406"
"974,392","410,002",tax at the applicable rate of 30%,"321,284","146,222"
"(961,178)","(461,020)",tax effect of income not taxable,"(520,002)","(200,453)"
"505,838","95,495",tax effect of expenses not deductible for tax,"235,568","95,495"
"219,525","132,793",Prior year deferred tax under provision,-,-
"738,577","177,270",,"36,850","41,264"
