Lengo la Centum 3.0,Matokeo halisi yakilinganishwa na 3.0
"Pata faida ya asilimia 35
katika kipindi cha mpango wa
mkakati","Kusanyiko la faida halisi katika kipindi cha mpango wa mkakati lilikuwa asilimia 32, huku matokeo ya kila
mali yakiwa ifuatavyo:
Faida ghafi ikilinganishwa na shabaha za Centum 3.0 (%)
Hisa na amana binafsi 31%
Mali isiyohamishika 29%
Hisa na amana ziwezazo kuuzwa 39%
Maendeleo -1%
Kusanyiko la faida 32%
Uwekezaji katika hisa na amana za binafsi ulileta chumo la asilimia 31, huku faida kutokana na
mali isiyohamishika ikiwa ni asilimia 29 ikilinganishwa na faida ya asilimia 35 iliyotarajiwa. Faida
kutokana na hisa na amana ziwezazo kuuzwa ilikuwa ya asilimia 39 , kiwango kilichokuwa bora zaidi
kikilinganishwa na vipimo vya soko la hisa na amana.
Matokeo ya kitengo cha ustawi yalivunja moyo na yalikuwa chini sana ya kilinganishwa na matarajio
yetu. Sababu za matokeo hayo ya kuvunja moyo ni pamoja na kustawisha na kupandisha kiwango
cha matawi mapya ni miradi mipya, na kucheleweshwa na utata ambao umekabili miradi ya ustawi
wa kawi. Nitazungumzia hili kwa kina katika sehemu ya maoni kuhusu hali ya biashara.
Tumepata mafunzo ya yaliyotufaa na yale ambayo hayakutupatia matokeo tuliyotarajia. Mafunzo
hayo tumeyatekeleza katika mkakati wa Centum 4.0. Funzo kubwa kubwa tulilolipata kutoka kwa
Centum 3.0 ni kwamba biashara mpya kabisa tunazoanzisha na miradi ya maendeleo huchukua
muda mrefu kuliko tulivyokadiria mwanzoni na kwamba mashaka kamili ya kibiashara hayaingiani
na kiwango chetu cha ujasiria."
"Kuangazia na kujihusisha
kibiashara katika sekta nane,
nazo ni:
Huduma za fedha
Biadhaa za matumizi
ambazo hununuliwa kasi
Mali isiyohamishika
Nguvu za umeme
Elimu
Kilimo
Huduma za afya
Habari, mawasiliano na
teknolojia (ICT).","Kwenye orodha ya sekta nane, tunahusika kikamilifu katika sekta sita. Hatujajihusisha bado katika
huduma za afya na sekta ya habari, mawasiliano na teknolojia (ICT).
Njia ya kwanza ya kuzalisha mali katika huduma za afya ililenga kujihusisha na mradi mpya kwa
ushirikiano na kampuni ya kimataifa iliyofanikiwa kwa huduma za afya. Lakini baada ya kutathmini
matokeo ya mpango wa mkakati wa Centum 3.0, na hasa matokeo ya uhusika wetu katika miradi ya
maendeleo, tulifikia uamuzi kwamba hatutajihusisha na mipango mipya ya biashara kama mbinu ya
kimkakati ya kuingia sokoni. Hata hivyo, tutatafuta nafasi katika sekta hii ikiwa ni sehemu moja ya
orodhafedha ya hisa binafsi zisizo na riba ya kudumu kulingana na kigezo chetu cha uwekezaji.
Tulitathmini nafasi kadhaa za kununua biashara na kukuza mali katika sekta ya ICT katika kipindi
tunachokiangazia, lakini hatukutwaa yoyote kwa sababu hakuna iliyofikia kigezo chetu cha kuwekeza.
Hata hivyo, tunatarajia kuwekeza katika sekta hii kwenye mpango wa Centum 4.0."
"Ongeza kiasi cha mali ili
thamani yake ifike KES 120
bilioni","Tulimaliza Centum 3.0 tukiwa na mali ya thamani ya KES 71.6 bilioni, ongezeko la asilimia 149 kutoka
KES 28.8 bilioni. Mwanzoni, dhana ya mpango wa mkakati wa Centum 3.0 ilikuwa kwamba tungekopa
pesa nyingi kuliko tulivyofanya hatimaye. Pili, kwamba tungeendeleza sera ya kutolipa mgawo wa faida.
Tulianza tena kulipa mgawo wa faida mnamo 2015/2016 na kufikia sasa tumelipa mgawo wa faida wa
KES 2.3 bilioni. La tatu ni kwamba hali ya soko imekuwa bora zaidi kuliko tulivyotarajia. Nne, matokeo
ya miradi ya ustawi yangekuwa bora kuliko yalivyokuwa."
Chapa,"Tuliendelea kujenga chapa ya Centum ambayo leo inatambulikana nchini na pia kote katika bara kuwa
mwekezaji mshirika anayeaminika, wa kutegemewa na kupendwa zaidi."
"Gharama ya chini ya asilimia
mbili ya jumla ya mali","Tulidumisha gharama ya uzalishaji katika kiwango cha wastani cha asilimia 1.5 cha jumla ya mali zetu
zote na kufika mwisho wa mwaka wa 2018/2019, kiwango hiki kilikua asilimia 0.9."
