Kshs. m,Sept’10,PE,QPE,REI
Investment Activity (Kshs.'m),,,,
Investments,"(2,599)",-,"(1,053)","(1,546)"
Realization Proceeds,951,1,950,-
Net Divestments/(Investments),"(1,648)",1,(103),"(1,546)"
Return,,,,
Total Return,"1,386",902,497,(13)
Return on Opening Equity,15.1%,16%,14%,-36%
Financial Position,,,,
Portfolio Value,"11,770","6,194","4,023","1,517"
Net Asset Value,"10,543","6,319","3,946",278
