Group,Column
2018,2017
Ksh’000,Ksh’000
"1,223,152","1,369,032"
"386,106","1,169,312"
"(422,593)","(938,235)"
"(34,124)","(117,008)"
"1,963",-
"584,324","(259,949)"
"1,738,828","1,223,152"
