Key Item,Status
PPA,"Initiated by KPLC and approved by the Energy Regulatory Commission
(“ERC”) for formal execution."
ESIA,Being updated with Lenders comments before they are sent to NEMA
O&M Contract,"Term sheet signed, initiated negotiation of final agreement"
"Fuel-Supply
Agreement",Draft being reviewed by lenders.
EPC Contract,"Initialed and agreed with EPC contractor. Currently being reviewed by
lenders before being executed."
Land Lease,"Land identified and approved for use by local county. Resettlement action
plan being driven by NLC to determine settlement terms."
"Financing
Documents",Currently being drafted. Term sheet executed in November 2014.
