"9,947,630","7,942,43"
"-
(958,441)
(1,108,625)
(700,816)
167,383
133,917
119,586","71,48
176,83
(2,858,24
3,136,18
705,85
(400,91
(9,47"
"(2,346,996)","821,71"
"7,600,634","8,764,15"
"5,469,039
2,131,595","7,805,03
959,11"
"7,600,634","8,764,15"
