Company,Column,Column,Column,Column,Column,Column,Column
At 31 March 2024,"Up to 1
month","1-3
months","3-12
months","1-3
years","3-5
years","Over 5
years",Total
,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000
Financial assets,,,,,,,
"Debt investment in
subsidiaries",-,-,-,"11,229,808",-,-,"11,229,808"
"Unquoted equity
investments",-,-,-,-,"4,401,846",-,"4,401,846"
"Receivables and
prepayments","8,443",-,"28,355",-,-,-,"36,798"
Cash and cash equivalent,"66,555","253,384",-,-,-,-,"319,939"
,"74,998","253,384","28,355","11,229,808","4,401,846",-,"15,988,391"
Financial liabilities,,,,,,,
Payables and accruals,"1,209,206","32,814",-,-,-,-,"1,242,020"
"Due to subsidiary
companies",-,"5,993",-,-,-,-,"5,993"
Lease liabilities,-,-,"6,083","58,735",-,-,"64,818"
Borrowings,-,"950,000",-,"1,000,589",-,-,"1,950,589"
Unclaimed dividends,-,"443,563",-,-,-,-,"443,563"
,"1,209,206","1,432,370","6,083","1,059,324",-,-,"3,706,983"
Net liquidity,"(1,134,208)","(1,178,986)","22,272","10,170,484","4,401,846",-,"12,281,408"
At 31 March 2023,"Up to 1
month",1-3 months,"3-12
months",1-3 years,3-5 years,"Over 5
years",Total
,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh’000
Financial assets,,,,,,,
"Debt investment in
subsidiaries",-,-,-,"10,344,329",-,-,"10,344,329"
"Unquoted equity
investments",-,-,-,-,"4,687,379",-,"4,687,379"
"Receivables and
prepayments","36,398",-,"40,942",-,-,-,"77,340"
Cash and cash equivalent,"77,218","271,032",-,-,-,-,"348,250"
,"113,616","271,032","40,942","10,344,329","4,687,379",-,"15,457,298"
Financial liabilities,,,,,,,
Payables and accruals,"273,349","4,884",-,"260,221",-,-,"538,454"
Borrowings,-,-,"500,000","1,748,171",-,-,"2,248,171"
Unclaimed dividends,-,"249,158",-,-,-,-,"249,158"
,"273,349","254,042","500,000","2,008,392",-,-,"3,035,783"
Net liquidity,"(159,733)","16,990","(459,058)","8,335,937","4,687,379",-,"12,421,515"
